blog,n.博客；vi.写博客,*
blog post,博文；博客帖子,*D
blogger,n.博客作者；博主,*
engine,n.引擎；发动机；火车头,*
search engine,（互联网上的）搜索引擎,*D
chat,vi.聊天；闲聊,*
stream,vt.流播（不用下载直接在互联网上播放音视频）；流出；vi.流动；n.小河；溪流,*
identity,n.身份；个性,*
identity card,身份证,*D
convenient,adj.方便的；近便的,*
cash,n.现金；金钱,*
update,vt.更新；向……提供最新信息；n.更新；最新消息,*
database,n；数据库；资料库,*
software,n.软件,*
network,n.（互联）网络；网状系统；人际网；vt.将……连接成网络；联播；vi.建立工作关系,*
stuck,adj.卡住；陷（入）；困（于）,
keep (sb) company,陪伴某人,*D
surf,vt. & vi.浏览；冲浪,*
benefit,n.益处；vt.使受益；vi.得益于,*
distance,n.距离,*
inspire,vt.鼓舞；激励；启发思考,*
now that,既然；由于,*D
access,n.通道；（使用、查阅、接近或面见的）机会；vt.进入；使用；获取,*
charity,n.慈善；慈善机构（或组织）,*
go through ,经历；度过；通读,*D
tough,adj.艰难的；严厉的,*
province,n.省,*
conference,n.会议；研讨会；正式会谈,*
resident,n.居民；（美国的）住院医生；adj.（在某地）居住的,*
plus,conj.而且；此外；n.加号；优势；prep.加；另加,*
function,n.功能；作用；机能；vi.起作用；正常工作；运转,*
battery,n.电池,*
confirm,vt.确认；使确信,*
Wi-Fi,n.无线保真（用无线电波而非网线在计算机网络传输数据的系统）,*
press,vt.按；压；敦促,*
button,n.按钮；纽扣,*
file,n.文件；文件夹；档案,*
in shape,状况良好,*
keep track of,掌握……的最新消息；了解……的动态,*D
discount,n.折扣；vt.打折,*
account,n.账户；描述,*
click,vt.& vi.点击,*
privacy,n.隐私；私密,
theft,n.偷（窃）；盗窃罪,*
rude,adj.粗鲁的；无礼的,*
target,n.目标；对象；靶子；vt.把……作为攻击目标,*
troll,n.发挑衅帖子的人；恶意挑衅的帖子,
cyberbully,n.网霸；vt.& vi.网络欺凌,
FALSE,adj.假的；错误的,*
particular,adj.特定的；特别的；讲究的,*
embarrassing,adj.让人难堪（尴尬；害羞）的,
make fun of,取笑；戏弄,*D
upset,adj.心烦的；苦恼的；沮丧的；vt. 使烦恼；使生气；搅乱,*
upset,vt. 使烦恼；使生气；搅乱的过去式,*
upset,vt. 使烦恼；使生气；搅乱的过去分词,*
guideline,n.准则；指导原则,*
author,n.作者；作家,*
tip,n.忠告；诀窍；实用的提示,*
familiar,adj.熟悉；熟知,*
keep ... in mind,牢记,*D
define,vt.给……下定义；界定；解释,
case,n.盒；箱；情况；案件,*
the World Wide Web ,abbr.WWW万维网；环球信息网,Z
Jan Tchamani,简.夏曼尼,Z
Birmingham,伯明翰（英国城市）,Z
