astronaut,n.宇航员；太空人,*
procedure,n.程序；步骤；手续,*
mental,adj.精神的；思想的,*
"centimetre, centimeter",abbr.厘米,*
intelligent,adj.有智慧的；聪明的；有智力的,*
rocket,n.火箭；火箭弹,*
gravity,n.重力；引力,*
frontier,n.边境；国界；边远地区,*
vehicle,n.交通工具；车辆,*
universe,n.宇宙；天地万物,*
determined,adj.有决心的；意志坚定的,*
determine,vt.查明；确定；决定,*
satellite,n.人造卫星；卫星,*
launch,vt.&n.发射；发起；上市,*
orbit,n.（环绕地球、太阳等运行的）轨道；势力范围；vt.& vi.沿轨道运行；环绕……运行,*
giant,adj.巨大的；伟大的；n.巨人；巨兽；伟人,
leap,n. 跳跃；剧增；剧变；vi.& vt.跳过；跃过,
mankind,n.人类,*
agency,n.（政府的）专门机构；服务机构；代理处,*
transmit,vt.& vi.传输；发送,
data,n. [pl.]资料；数据,*
disappointed,adj.失望的；沮丧的,*
desire,n.渴望；欲望；vt.渴望；期望,*
carry on,继续做；坚持干,*D
ongoing,adj.持续存在的；仍在进行的；不断发展的,
on board,在宇宙飞船上；在船上；在飞机上,*D
independently,adv.独立地；自立地,*
independent,adj.独立的；自立的,*
spacecraft,n.航天器；宇宙飞船,
spacewalk,n.太空行走；太空行走的时间,
jade,n.玉；翡翠；玉器,
dock,vi.&vt.（两架航天器）对接；（使）……进港；n.码头；船坞,
signal,vt. & vi.标志着；标明；发信号；n.信号；标志,*
in the hope of (doing) (sth),抱着……的希望,*D
so as to (do) (sth),为了；以便,*D
recycle,vt.回收利用；再利用,*
muscle,n.肌肉；实力；影响力,*
lack,n.缺乏；短缺；vt.没有；缺乏,*
float,vi.浮动；漂流；漂浮；vt.使浮动；使漂流,
otherwise,adv.否则；要不然,*
beyond,prep.在更远处；超出,*
solar,adj.太阳的；太阳能的,*
solar system,太阳系；类太阳系,*D
current,adj.当前的；现在的,*
figure out,弄懂；弄清楚；弄明白,*D
sufficient,adj.足够的；充足的,*
soap,n.肥皂,
towel,n.毛巾；抹布,*
microwave,n.水流；电流；思潮,
tissue,n.纸巾；（人、动植物细胞的）组织,*
facility,n.设施；设备,*
microwave oven,n.微波炉,
keen,adj.热衷的；渴望的,
globe,n.地球；世界；地球仪,*
argue,vt.& vi.论证；争辩；争论,*
argument,n.争论；争吵；论点,*
fatal,adj.致命的；灾难性的,
shallow,adj.肤浅的；浅的,*
result in,导致；造成,*D
pattern,n.模式；图案；模范,*
analysis,n. （对事物的）分析；分析结果,*
analyses,n. （对事物的）分析；分析结果的复数形式,*
as a result,所以；结果（是）,*D
high-end ,adj.高端的,
monitor,n.监视器；监测仪；vt.监视；监测；监控,*
regularly,adv.经常；定期地,*
regular,adj.定期的；经常的；正常的,*
foam,n.泡沫橡胶；泡沫,
pillow,n.枕头,
smartphone,n.智能手机,
resource,n.资源；财力；物力,*
limited,adj.有限的,*
provide for (sb),提供生活所需,*D
closing,adj.结尾的；结束的；n.停业；关闭；倒闭,*
in closing,最后,*D
mystery,n.神秘事物；谜,
run out,用完；耗尽,*
attach,vt.系；绑；贴,*
oxygen,n.氧；氧气,*
Sputnik 1,“旅伴一号”（苏联发射的人类第一颗人造卫星）,Z
the USSR (the Union of Soviet Socialist Republics),abbr. 苏联,Z
Yuri Gagarin,尤里·加加林（苏联宇航员）,Z
Neil Armstrong,尼尔·阿姆斯特朗（美国宇航员）,Z
NASA (National Aeronautics and Space Administration),abbr. （美国）国家航空与航天局,Z
Voyager 1,“旅行者一号”,Z
Soyuz 11,“联盟11号”,Z
Challenger,“挑战者”号航天飞机,Z
the International Space Station,国际空间站,Z
Jade Rabbit,“玉兔”月球车,Z
Mars,火星,*Z
Jupiter,木星,*Z
