cholera,n.霍乱,
severe,adj.极为恶劣的；十分严重的；严厉的,*
diarrhoea,n.腹泻,
dehydration,n.脱水,
frustrated,adj.懊恼的；沮丧的；失意的,
once and for all,最终地；彻底地,*D
contradictory,adj.相互矛盾的；对立的；不一致的,*D
infection,n.感染；传染,*
infect,v.使感染；传染,*
germ,n.微生物；细菌；病菌,
subscribe,vi.认购（股份）；定期订购；定期交纳（会费）,*
subscribe to,同意；赞同,*D
proof,n.证据；证明；检验,*
multiple,adj.数量多的；多种多样的,*
pump,n.泵；抽水机；打气筒,
water pump,水泵,*D
household,n.一家人；家庭；同住一所（套）房子的人,*
suspect,vt.& vi.怀疑；疑有；不信任；n.犯罪嫌疑人；可疑对象,*
blame,v.把……归咎于；责怪；指责n.责备；指责,*
handle,n.把手；拉手；柄；vt.处理；搬动；操纵（车辆、动物、工具等）,*
intervention,n.介入；出面；干涉,*
link,n.联系；纽带；vt.把……连接起来；相关联,*
pure,adj.干净的；纯的；纯粹的,*
raw,adj.未煮的；生的；未经处理的；原始的,*
substantial,adj.大量的；价值巨大的；重大的d,*
decrease,n.减少；降低；减少量；vt.& vi.（使大小、数量等）减少；减小；降低,*
thanks to,幸亏；由于,*D
statistic,n.统计数字；统计资料；统计学,*
statistics,n.统计数字；统计资料；统计学的复数形式,*
transform,vt.使改观；使改变形态vi.改变；转变,*
microscope,n.显微镜,*
epidemiology,n.流行病学,
thinking,n.思想；思维；见解,*
protein,n.蛋白质,*
cell,n.细胞；小房间；单间牢房,*
finding,n.发现；调查结果；（法律）判决,*
virus,n.病毒,*
initial,adj.最初的；开始的；第一的,*
vaccine,n.疫苗,*
framework,n.框架；结构,
theoretical framework,理论框架,*D
solid,adj.可靠的；固体的；坚实的；n.固体,*
cast,vt. 投射；向……投以（视线、笑容等）；投掷,*
cast,vt. 投射；投掷的过去式,*
cast,vt. 投射；投掷的过去分词,*
shadow,n.阴影；影子；背光处,*
rainbow,n.彩虹,*
pour,vt.倒出；倾泻；斟（饮料）,*
concrete,n.混凝土；adj.混凝土制的；确实的；具体的,*
plasma,n.血浆,
aerospace,n.航空航天工业,
patriotic,adj.爱国的,
mechanical,adj.机械的；发动机的；机器的,
mechanic,n.机械师；机械修理工,*
break out,（战争、打斗等不愉快的事情）突然开始；爆发,*D
aviation,n.航空制造业；航空；飞行,
jet,n.喷气式飞机,
defend,vt.保卫；防守；辩解,*
assistant,n.助理；助手,*
in charge of,主管；掌管,*D
missile,n.导弹,*
leadership,n.领导；领导地位；领导才能,*
trace,vt.追溯；追踪；查出；n.痕迹；遗迹；踪迹,
outstanding,adj.优秀的；杰出的；明显的,*
gifted,adj.有天赋的；有天才的；天资聪慧的,*
come down with,患（病）；染上（小病）,*D
abstract,adj.抽象的；理论上的；n.（文献等的）摘要,*
steady,adj.稳定的；平稳的；稳步的,
concept,n.概念；观念,*
astronomer,n.天文学家,*
astronomy,n.天文学,*
telescope,n.望远镜,*
besides,prep.除……之外（还）；adv.而且；此外,
brilliant,adj.聪颖的；绝妙的；明亮的,*
furthermore,adv.此外；再者,
above all,最重要的是；尤其是,*D
fault,n.弱点；过错,*
shift,n.改变；转换；轮班vi. & vt.转移；挪动；转向,*
vivid,adj.生动的；鲜明的；丰富的,*
Queen Victoria,维多利亚女王（英国女王）,Z
Cambridge,剑桥（英国城市）,Z
non-Newtonian fluid,非牛顿流体,Z
the Jet Propulsion Laboratory,喷气推进实验室（美国）,Z
Stephen Hawking,史蒂芬﹒霍金（英国物理学家）,Z
the big bang theory,大爆炸宇宙论,Z
Fred Hoyle,弗雷德·霍伊尔（英国天文学家）,Z
