interaction,n. 交流；相互影响,*
vary,ⅵ. （根据情况）变化；改变,*
appropriate,adj. 合适的；恰当的,*
by contrast,相比之下,*D
approve,vi. 赞成；同意. vt. 批准；通过,*
demonstrate,vt. 表现；表达；说明；证明,*
gesture,n. 手势；姿势；姿态,
witness,vt. 当场看到；目击；见证. n. 目击者；证人,*
employ,vt. 使用；应用；雇用,*
identical,adj. 相同的,*
interpret,vt. 把……理解（解释）为. vi. & vt. 口译,*
differ,ⅵ. 相异；不同于,*
by comparison,（与……）相比较,*D
cheek,n. 面颊；脸颊,*
favour,vt. 较喜欢；选择；有利于. n. 帮助；恩惠；赞同,*
bow,vi. 鞠躬；点头. vt. 低（头）. n. 弓；蝴蝶结,*
waist,n. 腰；腰部,*
make inferences,推理；推断,*D
break down,消除；分解；打破,*D
barrier,n. 隔阂；障碍,*
fake,adj. 假装的；假的；冒充的,
anger,n. 愤怒；怒气. vt. 使生气；激怒,*
reliable,adj. 可靠的；可信赖的,*
incident,n. 发生的事情；严重事件；冲突,*
trial,n. & v. 审讯；审判；试验；试用,*
slight,adj. 轻微的；略微的；细小的,*
slightly,adv. 略微；稍微,*
twin,adj. 双胞胎之一的；孪生之一的. n. 孪生之一；双胞胎之,*
nonverbal,adj. 不涉及言语的；非言语的,
assessment,n. 评价；评定,*
assess,vt. 评估；评价,*
internal,adj. 内部的；里面的,*
straighten up,直起来；整理；收拾整齐,*D
slump,ⅵ. 垂头弯腰地走（或坐等）,
pose,n. 故作姿态；（为画像、拍照等摆的）姿势. vi. 摆好姿势. vt. 造成（威胁、问题等,*
bend,vt. & vi. （bent；bent） （使）弯曲；倾斜；偏向,*
reveal,vt. 揭示；显示；露出,*
clarify,vt. 使更清晰易懂；阐明；澄清,*
in other words,换句话说；也就是说,*D
educator,n. 教师；教育工作者；教育家,*
tick,vt. 给（试卷、问题等）打钩号. vi. （钟表）发出嘀嗒声. n. 钩号,
tendency,n. 趋势；倾向,*
lower,vt. 把……放低；降低；减少. adj. 下面的；下方的；较少的,*
imply,vt. 意味着；暗示,*
barely,adv. 几乎不；勉强才能；刚刚,*
chin,n. 下巴,
occupy,vt. 占据；占用,*
stare,ⅵ. 盯着看；凝视. n. 凝视,*
ceiling,n. 天花板；上限,*
distract,vt. 分散（注意力）；使分心,
perceive,vt. 察觉；看待；理解,*
distinguish,vi. & vt. 区分；辨别,*
anxiety,n. 焦虑；担心；害怕,*
chest,n. 胸部；胸膛,*
embarrassed,adj. 难堪的；尴尬的,*
ashamed,adj. 羞愧；惭愧,*
merely,adv. 只是；仅仅；只不过,*
call on,（短暂地）访问；要求（某人讲话等）；正式邀请,*D
bother,vi. & vt. 费心；麻烦；因……操心. n. 麻烦；不便,*
weep,vi. & vt. 哭泣；流泪,*
at work,有某种影响；在工作,*D
conflict,n. 矛盾；冲突. vi. 冲突；抵触,*
"inquire, enquire",vi. & vt. 询问；打听,*
ultimately,adv. 最终；最后,*
adjust,vt. 调整；调节. vi. & vt. 适应；（使）习惯,*
intervene,vi. 干预；介入,
react,vi. （对…）起反应；回应；（对食物等）有不良反应,*
component,n. 组成部分；零件,*
tone,n. 语气；腔调；日吻,*
Brazil,巴西（国家名）,Z
Bulgaria,保加利亚（国家名）,Z
Albania,阿尔巴尼亚（国家名）,Z
