moral,adj.道德的；道义上的；n.品行；道德；寓意,*
virtue,n.高尚的道德;美德;优秀品质,*
dilemma,n.进退两难的境地;困境,*
moral dilemma,道德困境,*D
faint,vi.昏倒；晕厥；adj.不清楚的；微弱的,
illustrate,vt.（举例）说明;阐明;给（书或文章）加插图,*
precious,adj.珍稀的;宝贵的,*
entrust,vt.委托；交付,
carry (sb) through (sth),帮助某人渡过难关,*D
marriage,n.结婚;婚姻,*
majority,n.大部分;大多数,*
complain,vi.& vt.抱怨;发牢骚,*
tuition,n.（小组）教学；讲课,
fee,n.专业服务费;报酬,*
tuition fees,学费,*D
respond,vt.回答;回复；vi.做出反应;回应,*
response,n.反应;回答;回复,*
union,n.协会；联合会；工会,
scholarship,n.奖学金,*
hire,vt.聘任;雇用;租用；n.租借;租用,*
physician,n.医师;（尤指）内科医生,*
resident physician,住院医师,*D
colleague,n.同事；同僚,
reject,vt.拒绝接受;不录用,*
rejection,n.拒绝接受;否决,*
appoint,vt.任命；委派,
clinic,n.诊所;门诊部,*
faraway,adj.遥远的,
elect,v.选举;推选,*
election,n.选举;推选;当选,*
decade,n.十年;十年期,*
elsewhere,adv.在别处;去别处,*
tend,vt.照顾;照料vi.倾向;趋于,*
tend to do (sth),易于做某事;往往会发生某事,*D
publish, vt. 发表（作品）;出版,*
staff,n.员工;全体职员,*
retire,vi.& vt.退休;退职;退出,*
saving,n. 节省物;节省;节约;[pl.] 储蓄金;存款,*
kindergarten,n.学前班;幼儿园,*
principle,n.道德原则;法则;原则,*
passive,adj.被动的;顺从的,*
scared,adj.害怕的;对……感到惊慌或恐惧的,*
scare,vt.惊吓;使害怕；vi.受惊吓,*
sharp, adj.（增长、下跌等）急剧的;锋利的;明显的,*
insurance,n.保险;保险业,*
energetic,adj.精力充沛的;充满活力的,*
replace,vt.接替;取代;更换,*
accident,n.事故;车祸;失事,*
operation,n.手术;企业;经营,*
whisper,vi.&vt.悄声说;耳语;低语；n.耳语（声）;低语（声）;传言;谣传,*
midnight,n.子夜;午夜,*
import,n.进口;进口商品；vt.进口;输入;引进【词性不同发音不同】,*
export,n.出口;出口商品;vt.出口;输出;传播[词性不同发音不同】,*
pole,n.（行星的）极;地极,*
lap,n.（坐着时的）大腿部;（跑道等的）一圈,*
bite, vt. & vi. 咬;叮;蜇n.咬;（咬下的）一口;咬伤,*
lip,n.嘴唇,
assist,vt.帮助；援助,
first aid,急救,*D
pass away,去世,*D
chairman,n.主席;主持人;董事长,*
memory,n.记忆力;回忆,*
in memory of,作为对……的纪念,*D
chain,n.一连串（人或事）;链子;链条,*
café,n.咖啡馆;小餐馆,*
waitress,n.（餐馆的）女服务员；女侍者,
pregnant,adj.怀孕的；妊娠的,
disguise,vt.装扮；假扮；掩盖；n.伪装；化装用具,
maple,n.枫树；槭树,
cart,n.手推车；运货马车,
spill,vt. & vi. （使）洒出；（使）溢出,
trip over,被……绊倒,*D
limp,vi.跛行；一瘸一拐地走,
tear,n.眼泪;泪水,*
in tears,流着泪;含着泪,*D
despair,n.绝望；vi.绝望；感到无望,*
in despair,处于绝望中,*D
harm,n. & vt.伤害;损害,*
might,n.力量；威力,
a great deal (of),大量,*D
fable,n.寓言；寓言故事,
court,n.（网球等的）球场;法院;法庭,*
flexible,adj.灵活的;可变通的,*
income,n.收入;收益,*
per,prep.每;每一,*
therefore,adv.因此;所以,*
tension,n.紧张关系;紧张;焦虑,*
Peking Union Medical College (PUMC),北京协和医学院,Z
the Wenhai Scholarship,“文海”奖学金,Z
the OB-GYN department (Department of Obstetrics and Gynecology),妇产科,Z
the People's Republic of China,中华人民共和国,*Z
the National People's Congress,全国人民代表大会,*Z
the North Pole,北极,*Z
the South Pole,南极,*Z
Henry Norman Bethune,亨利·诺曼·白求恩,Z
