emerge,vi. &vl. 出现；浮现；暴露,*
sunrise,n. 日出,
precise,adj.  准确的：精确的,*
precisely,adv.  准确地；精确地；的确如此,*
convey,vt. 表达；传递（思想、感情等）；传送,
Christianity,n. 基督教,Z
subjective,adj. 主观的,*
realistic,adj. 现实的；逼真的,*
outer,adj. 外表的；外边的；外围的,
subsequent,adj. 随后的；后来的；之后的,*
realism,n. 逼真；现实主义；务实作风,*
realist,n. 现实主义画家（或作家等）；现实主义者,*
Cubism,n.  立体主义；立体派,Z
fond,adj. 喜爱,*
primitive,adj. 发展水平低的；原始的；远古的；n. 文艺复兴前的艺术家（或作品）,*
(be) fond of,喜爱；喜欢,*D
sculptor,n. 雕刻家；雕塑家,*
"fine art, fine arts",美术（尤其绘画和雕塑）,*
sculpture,n. 雕像；雕刻品；雕刻术,*
visual,adj.  视觉的；视力的,*
two-dimensional,adj. 二维的,
dimension,n. 维；规模；范围,*
in particular,尤其；特别,*D
water lily,睡莲,D
set apart from,使与众不同；使突出；使优于……,*D
humanistic,adj.  人文主义的,
pond,n.  池塘；水池,*
arched,adj. 拱形的；弓形的,*
humanity,n. 人性；人道；（统称）人类,
arch,vt. &vi. 呈弧形横跨；（使）成弓形；n. 拱；拱形结构；拱门,*
breakthrough,n.  重大进展；突破,
investment,n. 投资额；投资；（时间、精力的）投入,*
influential,adj. 有很大影响力的；有支配力的,*
bride,n.  新娘,*
reputation,n. 名誉；名声,*
permanent,adj. 永久的；永恒的；长久的,*
noble,n. 贵族成员；出身高贵的人；adj. 崇高的；宏伟的；高贵的,*
Impressionism,n. 印象主义；印象派（绘画风格）,
representative,adj. 典型的；有代表性的；n. 代表,*
memorial,n. 纪念碑（或像等）；纪念物；纪念品；adj. 纪念的；悼念的,*
rank,n. 地位；级别；行列；vt. &vi. 把……分等级；使排成行,*
purchase,vt. 购买；采购；n. 购买；购买的东西,*
humble,adj. 谦逊的；虚心的；卑微的,*
photography,n.  照相术；客户摄影,
"criticise, criticize",vi. &vt. 批评；指责；评价-NAmE-,*
mythology,n. 神话；虚幻的想法,
client,n. 委托人；当事人；,*
criticism,n. 批评；指责；评论,*
ink,n. 墨水；墨汁；油墨 ,
animation,n. （电脑、录像）动画制作；动画片,
Renoir,雷诺阿（法国印象派画家）,Z
frame,n. 画面；框架；vt. 给……镶框；陷害,
Picasso,毕加索（西班牙画家、雕塑家）,Z
Giverny,吉维尼（法国小镇）,Z
Tadpoles Searching for Mother,《小蝌蚪找妈妈》,Z
symphony,n. 交响乐；交响曲,*
decline,n. （数量、价格、质量等的）减少；下降；衰落；vi. & vt.  减少；下降；衰落；谢绝,*
The Cowboy's Flute,《牧笛》,Z
Feeling from Mountain and Water,《山水情》,Z
exhibition,n. 展览；（技能、感情或行为的）表演,*
Clearing After Snow on a Mountain Pass,《函关雪霁图》（明代画家唐寅画作）,Z
bronze,n. 青铜；深红褐色；adj. 青铜色的；深红褐色的,
entry,n. 加入；进入；参与,*
ceramic,n. 陶瓷制品；制陶艺术,
vase,n. 花瓶；装饰瓶,*
artistic,adj. 艺术的；艺术家的,
civil,adj. 国民的；民用的；民事的,*
recognition,n. 承认；认出；赞誉,*
Buddhist,adj. 佛教的；n.  佛教徒,Z
Buddhism,n.  佛教,Z
expansion,n. 扩张；扩展；扩大,*
bring ... to life,赋予……生命；使……鲜活起来,*D
guarantee,vt. 保证；确保；肯定……必然发生；n. 保证；保修单；担保物,*
contemporary,adj. 当代的；现代的；属同时期的；n. 同代人；同辈人,*
worthy,adj. 值得……的；有价值的,*
(be) worthy of,值得,*D
The Middle Ages,中世纪,Z
Giotto di Bondone,乔托. 迪. 邦多纳（意大利画家、雕刻家、建筑师）,Z
the Renaissance,文艺复兴（时期）,Z
Leonardo da Vinci,莱昂纳多·达·芬奇（意大利艺术家、学者、发明家）,Z
Masaccio,马萨乔（意大利现实主义画家）,Z
Michelangelo,米开朗琪罗（意大利雕塑家、画家、建筑师、诗人）,Z
Raphael,拉斐尔（意大利画家）,Z
Rembrandt,伦勃朗（荷兰画家）,Z
Claude Monet,克劳德. 莫奈（法国印象派画家）,Z
