fiction,n.小说;虚构的事,*
science fiction,(abbr. SF)科幻小说（或影片等),*D
test out,检验;测试,*D
bonus,n.意外收获;奖金;红利,*
more like,更像是;更接近,*D
ridiculous,adj.愚蠢的;荒谬的;荒唐的,
integrity,n.诚实正直;完整;完好,*
dignity,n.庄重;庄严;尊严,*
salary,n.薪水;薪金,*
absurd,adj.荒谬的;荒唐的,*
appointment, n.预约;约会;委任,*
nail,n.指甲;趾甲;钉子vt.(用钉子）钉牢;固定,*
saleswoman,n.女售货员;女推销员,*
guilty,adj.内疚的;有罪的;有过失的,*
suspend,vt.悬;挂;暂停;暂缓,*
ladder,n.梯子;阶梯,
dismiss,vt.让（某人）离开;解散;解雇;消除,*
declare,vt; 表明;宣称;公布,*
whereas,conj.然而;但是;尽管,
rumour,n; 谣言;传闻,
presume,vt.& vi.假设;假定,
fare,n.车费;船费;飞机票价,
weekly,adj.每周的n.周刊,*
on a ... basis,根据;以……的方式（基准),*D
calculate,vt.计算;核算;预测,*
chairwoman,n.女主席;女董事长;女委员长,*
"gramme,gram",n.克（重量单位）,*
flour,n.面粉;（谷物磨成的）粉,*
venue,n.活动场地（如音乐厅、会场等）,*
salesman,n.售货员;推销员,*
alien,n.外星人（生物）﹔外国人adj .陌生的;外星的;外国的,
pros and cons,事物的利与弊;支持与反对,*
blurred,adj.模糊不清的;难以区分的,
superior,adj.更好的;占优势的;（在级别或重要性上）更高的,*
superior to,比……更好;更胜一筹,*D
take over,占上风;取而代之;接管;接手,*D
inaction,n.无行动;不采取措施,
conflict with,与……冲突或抵触,*D
labour,n.劳动（者）;体力劳动；vi.奋斗;努力工作,*
leather ,n.皮革;[pl.]皮衣;皮外套,*
lever,n.操纵杆;杠杆,
panel,n.控制板;仪表盘;专家咨询组,*
inch, n.英寸（长度单位; 等于2.54厘米）,*
backwards,adv.向后;倒着;往回,*
grip,vt.& vi.紧握;抓紧,
hazy,adj.模糊的;朦胧的;困惑的,
niece,n.侄女;外甥女,*
fetch, vt.(去）拿来;(去）请来,*
handkerchief,n.手帕;纸巾,*
lamp,n.灯;台灯,*
turn out,关掉;熄灭;在场;使朝外;结果是,*D
pace,n.速度;步伐;节奏vt.& vi.确定速度;调整节奏,*
fall away,（逐渐）减少;消失,*D
division,n.分开;分隔;差异;除（法),*
puff,n.(烟、气等的）一缕;少量;喘息,
urge,n.强烈的欲望;冲动；vt.催促;力劝;大力推荐,*
have an urge to,有强烈的欲望做某事,*D
random,adj.随机的;不可思议的,*
maximum,adj.最大极限的n.最大量;最大限度,*
explode,vi.& vt.爆炸;爆破,*
jolt,n.震动;摇晃;颠簸vt .& vi.(使）震动;摇晃,
flip,vt.& vi.(使）快速翻转;（用手指）轻抛,
stun,vt.使震惊;使昏迷,
mud,n.泥;泥浆,*
overstatement,n.夸大;夸张,
Braille,布拉耶盲文（凸点符号),Z
The Three-Body Problem,《三体》,Z
Hugo Award,雨果奖,Z
Claire,克莱尔,Z
