billion,n.十亿,*
native,adj.出生地的；本地的；土著的；n.本地人,*
attitude,n.态度；看法,*
reference,n.指称关系；参考,*
refer,vi.提到；参考；查阅；vt.查询；叫……求助于,*
refer to,指的是；描述；提到；查阅,*D
system,n.体系；制度；系统,*
despite,prep.即使；尽管,*
ups and downs,浮沉；兴衰；荣辱,*D
factor,n.因素；要素,*
based,adj.以（某事）为基础的；以……为重要部分（或特征）的,*
base,vt.以……为据点；以……为基础；n.底部；根据,*
date back (to) …,追溯到,*D
bone,n.骨头；骨（质）,*
shell,n.壳；壳状物,
symbol,n.符号；象征,*
carve,vt.&vi.雕刻,*
dynasty,n.王朝；朝代,*
variety,n.（植物、语言等的）变体；异体；多样化,*
major,adj.主要的；重要的；大的；n.主修课程；主修学生；vi.主修；专门研究,*
"no matter where, no matter who, no matter what, etc",不论……；不管……,*D
dialect ,n.地方话；方言,
means,n.方式；方法；途径,*
classic,adj.传统的；最优秀的；典型的；n.经典作品；名著,*
regard,n.尊重；关注；vt.把·……视为；看待,*
character,n.文字；符号；角色；品质；特点,*
calligraphy,n.书法；书法艺术,*
global,adj.全球的；全世界的,*
affair,n.公共事务；事件；关系,*
appreciate,vt.欣赏；重视；感激；领会；vi.增值,*
specific,adj.特定的；明确的；具体的,*
CE  (Common Era),公元,*
struggle,n.& vi.斗争；奋斗；搏斗,*
tongue,n.舌头；语言,
point of view,观点；看法,*D
semester,n.学期,
"petrol, gas",n. 汽油,*
"subway, underground",n. 地铁,*
apartment,n. 公寓套房,*
pants,n.[pl.]（BrE）内裤；短裤；（especially NAmE）裤子,
beg, vt.恳求；祈求；哀求,*
equal,n.同等的人；相等物；adj.相同的；同样的,*
gap,n.间隔；开口；差距,*
demand,n.要求；需求；vt.强烈要求；需要；vi.查问,*
vocabulary,n.词汇,*
description,n.描写（文字）；形容,*
relate,vt.联系；讲述,*
relate to,与……相关；涉及；谈到,*D
Korean,n.朝鲜（或韩国）语；朝鲜（或韩国）人adj.朝鲜（或韩国）的,Z
Danish,n.丹麦语；丹麦人；adj.丹麦的,Z
Denmark,丹麦（国家名）,Z
Arabic,n.阿拉伯语；adj.阿拉伯语的；阿拉伯文学的,Z
FIFA,abbr.（源自法语）国际足联；国际足球联合会,Z
