fitness,n.健康；健壮；适合,
soccer,n.足球；足球运动,*
stadium, n. 体育场；运动场,*
"stadiums, stadia", n. 体育场；运动场的复数形式,*
boxing,n.拳击（运动）,*
badminton,n.羽毛球运动,*
marathon,n.马拉松赛跑,*
event,n.比赛项目；大事；公开活动,*
come along,跟随；到达；进步；赶快,*D
ski,adj.滑雪的；vi.滑雪,*
host,vt.主办；主持；n.主人；东道主；节目主持人,*
track,n.跑道；足迹；铁路轨道；vt.&vi.追踪；跟踪,*
track and field ,田径,*D
gym,n.健身房；体育馆,*
gymnastics,n.体操（训练）,*
work out,锻炼；计算出；解决,*
sweat,vt.使出汗；出汗弄湿；vi.出汗；流汗；n.汗水；出汗,*
make it,获得成功；准时到达,*D
legend,n.传奇故事（或人物）；传说,
athlete,n.运动员；运动健儿,*
master,n.高手；主人；vt.精通；掌握,*
set an example,树立榜样,*D
honour,n.荣誉；尊敬；荣幸,*
glory,n.荣誉；光荣；赞美,
medal,n.奖章；勋章,*
championship,n.锦标赛；冠军赛；冠军称号,*
champion,n.冠军；优胜者,*
determination,n.决心；决定,
apart,adv.分离；分开；成碎片,*
fall apart,破裂；破碎；崩溃,*D
injure,vt. 使受伤；损害,*
injured,adj.受伤的；有伤的,*
injury,n.伤害；损伤,*
captain,n.（运动队）队长；船长；机长,*
lose heart,丧失信心；泄气,*D
graceful,adj.优美的；优雅的,
strength,n.力量；体力,*
failure,n.失败；失败的人（或事物）,*
give up,放弃；投降,*D
compete,vi.竞争；对抗,
make sense,有道理；合乎情理；表述清楚,*D
pretend,vi.& vt.假装；装扮,*
pretend to do (sth),假装做某事,*D
"even if, even though",即使；虽然,*D
million,num.一百万,*
cheat,vi.作弊；舞弊；vt.欺骗；蒙骗；n.欺骗手段；骗子,*
audience,n.观众；听众,*
positive,adj.积极的；正面的；乐观的；肯定的,*
slim,adj.苗条的；单薄的,*
diet,n.规定饮食；日常饮食；vi.节食,*
make a difference,有作用或影响,*D
rather,adv.相当；有点儿,*
rather than ,而不是,*D
push-up,n. 俯卧撑,D
cut ... out ,停止做（或使用、食用）；剪下,*D
now and then,有时；偶尔,*D
"compare ... with …, compare ...  to …",与……比较,*D
jog,vi.慢跑；n.慢跑,*
stress,n.压力；紧张；重音；vt.强调；重读；使焦虑不安；vi.焦虑不安,*
error,n.错误；差错,*
