tale,n.故事;叙述,*
merchant,n.商人;批发商；adj.海上货运的,
set sail,起航;开航,*
extend,vt.扩展;使伸长;延长,*
negotiate,vt.商定;达成（协议）vi.谈判;磋商;协商,*
fleet,n.舰队;机群;车队,
behold,vt. 看;看见,
league,n.等级;水平;联合会;联赛,*
in a league of (one's) own,独领风骚,*
royal,adj .皇家的;王室的;高贵的,*
spice,n.（调味）香料,
withdraw,vi.& vt. （使）撤回;撤离,*
withdraw from,退出;撤回,*D
channel,n.航道;海峡;频道,*
maritime,adj.海的;海运的;海事的,
bond,n.纽带;关系; vt .& vi.增强信任关系;使牢固结合,*
in hand,在手头;可供使用,*D
politics,n.政治;政治观点,*
profession,n.职业;行业,*
tournament,n.锦标赛;联赛,*
mixture,n.混合;结合体;混合物,*
laptop,n.笔记本电脑;便携式电脑,*
coverage,n.新闻报道;覆盖范围,*
press conference,记者招待会;新闻发布会,*D
applaud,vt. & vi.鼓掌; vt.称赞;赞赏,*
tax,vt.对……征税;使纳税; n.税;税款,*
manned,adj.有人控制的;需人操纵的,
submersible,n.潜水器;可潜船,
underwater,adv.在水下; adj.水下的,
capsule,n.胶囊;太空舱,*
coral,n.珊瑚,
migration,n.迁移;迁徙;移居,
directory,n.名录;电话号码簿; （计算机文件或程序的）目录,*
meanwhile,adv.与此同时;（比较两方面）对比之下,
exploit,vt.开发;利用;剥削,
gallon,n.加仑（容积单位；1英制加仑约等于4.5升）,
murder,vt.谋杀;凶杀;毁坏; n.谋杀;凶杀,*
mercy,n.仁慈;宽恕;恩惠,*
possession,n. [usually pl.]个人财产; 拥有;控制,*
opponent,n.反对者;对手;竞争者,*
log,vt.把……载入正式记录;记录; n.正式记录;日志; 原木,*
marine,adj.海的;海产的;海生的,
arrest,n.逮捕;拘留;中止; vt.逮捕;拘留;阻止,*
Marco Polo,马可·波罗,Z
Columbus,哥伦布,Z
Ceylon,锡兰（斯里兰卡的旧称）,Z
Churchill,丘吉尔,Z
Ferdinand Magellan,费迪南德·麦哲伦,Z
Zac Sunderland,扎克·桑德兰,Z
Robin Lee Graham,罗宾·李·格雷厄姆,Z
