iconic,adj.符号的;图标的,
foundation,n.创建;基础;地基,*
political,adj.政治的,*
didgeridoo,n.迪吉里杜管,
located,adj.位于,
equator,n.赤道,*
barbecue, n.[abbr.BBQ]户外烧烤;烤架,*
bakery,n.面包（糕饼）店;面包厂,*
joint,n.公共场所（尤指价格低廉的饮食和娱乐场所）﹔关节adj.联合的;共同的,*
butcher,n.肉贩;屠夫;刽子手,*
premier,adj.最著名的;第一的;首要的n.总理;首相,*
herb,n.药草;香草;草本,*
dim sim,（特指澳大利亚的）点心,
hollow,adj.中空的;空心的,
vibrate,vt.& vi.(使）振动,
horn,n.（乐器）号,
pitch,n.音高,
straightforward,adj .坦率的;简单的,*
slogan,n.标语;口号,
minister,n.部长;大臣;外交使节,*
prime minister,首相;总理,*D
frog,n.蛙;青蛙,*
arrow,n.箭;箭头,*
entitle,vt.给……命名（或题名）;使享有权利,*
getaway,n.适合度假的地方,
dive,vi.& n.潜水;跳水;俯冲,*
kayaking,n.划皮艇,
peak season,高峰季节,*D
freedom,n.自由;不受……影响的状态,*
domain,n.领域;领土;范围,*
sponsor,vt.倡议;赞助;主办n.(法索等的）倡议者;赞助者,*
liberty,n.自由,*
golf,n.高尔夫球运动,*
strait,n.海峡,*
sample,/ n.样本;样品,*
monument,n.纪念碑（或馆、堂、像等） ;历史遗迹,
kiwi,n.几维（新西兰鸟）,
geyser,n.间歇泉,
sulphuric,pool硫黄池,
manuka,honey麦卢卡蜂蜜,
bungee,jumping 蹦极跳,
a flock of,一群（羊或鸟),*D
geothermal park,地热公园,
distribution,n.分布;分配;分发,*
pouch,n.育儿袋;小袋子;荷包,
temporary,adj .暂时的;短暂的,*
phase,n.阶段;时期,*
trunk,n.树干,*
licensed,adj.得到正式许可的,*
license,vt.批准;许可n. 许可证;执照,*
session,n.一场;一段时间;会议,*
frequency,n.发生率;重复率;(声波或电磁波振动的）频率,*
violent,adj.暴力的;猛烈的,*
violence,n.暴力;暴行,*
nest,n.巢穴;鸟窝;秘密窝点,*
mammal,n.哺乳动物,
biology,n.生理;生物学,*
hatch,vi.孵出;破壳vt.使孵出;策划;（尤指）密谋,*
capacity,n.能力﹔容量,*
a handful of,少数人（或物)﹔一把（的量),*D
fence,n.栅栏;围栏,*
prison,n.监狱;监禁,*
grand,adj.大;宏大的,*
Aborigine,澳大利亚土著,Z
Sydney,悉尼（澳大利亚城市),Z
Bondi Beach,邦迪海滩,Z
Chiang Mai,清迈（泰国城市),Z
the Bay of lslands,岛屿湾,Z
the haka,哈卡舞（传统毛利伴歌战舞),Z
Edmonds,埃德蒙兹,Z
Felicity,费莉西蒂,Z
Tasmanian devil,塔斯马尼亚恶魔;袋獾,Z
Tasmania,塔斯马尼亚（澳大利亚州名),Z
duck-billed platypus,鸭嘴兽,
