adversity,n.困境；逆境,
wage,n.工资,*
bitter,adj.严寒的；激烈而不愉快的；味苦的,*
expedition,n.探险；远征；探险队,
endurance,n.忍耐力；耐久力,
vigour,n.精力；力量；活力,
turn ... down,拒绝（某人）,*D
qualified,adj.符合资格；具备……的知识（或技能、学历等）,
enthusiastic,adj.热情的；热心的,*
aboard,adv. & prep.上（船、飞机、公共汽车等）,*
cupboard,n.橱柜；壁橱；衣柜,*
assign,vt.分派；布置；分配,*
steward,n.（轮船、飞机或火车上的）乘务员；服务员,
envy,n.& vt.羡慕；妒忌,*
crush,vt.毁坏；压坏；压碎；n.拥挤的人群,
sink,vi.沉没；下沉；下降；vt.使下沉；使沉没,*
abandon,vt.舍弃；抛弃；放弃,*
stove,n.炉具；厨房灶具,
blanket,n.毯子,*
belongings,n. [p1.]财物；动产,
banjo,n.班卓琴（乐器）,
miserable,adj.痛苦的；令人难受的,
voyage,n. & vi.航海；航行,
navy,n.海军；海军部队,*
decent,adj.相当不错的；正派的；得体的,*
cosy,adj.温馨的；舒适的,
selfish,adj.自私的,
good-tempered,adj.脾气好的,
bad-tempered,adj.脾气坏的,
genuine,adj.真正的；真诚的；可信赖的,*
perseverance,n.毅力；韧性；不屈不挠的精神,
persevere,vi.坚持；孜孜以求,
resolve,vi.& vt.决定；决心；解决（问题或困难）；n.决心；坚定的信念,*
resolution,n.决议；解决；坚定,*
crew,n.（轮船、飞机等上面的）全体工作人员；专业团队；一群人,*
cruel,adj.残酷的；残忍的；冷酷的,*
thorough,adj.深入的；彻底的；细致的,*
furniture,n.家具,*
unfortunately,adv.不幸地；遗憾地,
fortunately,adv.幸运地,*
bark,vi.& n.（狗）吠叫；吠叫声,*
rugby,n.橄榄球运动,*
bat,n.球拍；蝙蝠；vi.& vt.用球板击球；挥打；拍打,*
damp,adj.潮湿的；湿气重的,*
recreation,n.娱乐；消遣；游戏,*
guidance,n.指导；引导；导航,*
nephew,n.侄子；外甥,*
advertising,n.广告活动；广告业,*
advertise,vt. &vi.公布；宣传；做广告,*
corporate,adj.公司的；法人的；社团的,*
rough,adj.汹涌的；粗糙的；粗略的,
navigator,n.领航员；（飞机、船舶等上的）航行者,*
loyal,adj.忠诚的；忠实的,
motor,n.发动机；马达；adj.有引擎的；机动车的,*
candidate,n.候选人；应试者,*
make fire,生火,*D
give off,放出（热、光、气味或气体）,*D
episode ,n.（人生的）一段经历；（小说的）片段；插曲,*
commitment,n. 承诺；保证；奉献,*
motive,n.动机；原因；目的,*
Confucianism,n.孔子学说；儒家（学说）,*Z
Ernest Shackleton,欧内斯特·沙克尔顿（英国探险家）,Z
Perce Blackborow,珀西·布莱克博罗（“坚忍”号服务员）,Z
Antarctica,南极洲,Z
the Antarctic,南极地区,Z
the South Pole,南极,Z
South Georgia Island,南乔治亚岛（南极洲）,Z
Frank Wild,弗兰克·怀尔德,Z
Thomas Orde-Lees,托马斯·奥德利斯,Z
Frank Worsley,弗兰克·沃斯利,Z
Tom Crean,汤姆·克林,Z
Hubert Hudson,休伯特·赫德森,Z
Lionel Greenstreet,莱昂内尔·格林斯特里特,Z
remain cheerful in adversity,在逆境中仍保持乐观,*D
bitter quarrels,激烈不愉快的争吵,*D
beyond endurance,无法忍,*D
be committed to (doing),致力于/奉献于做某事,*D
qualify ... for,使某人有资格获得,*D
be enthusiastic about,对...充满热情,*D
on board (the ship/plane) ,在（船/飞机）上,*D
be assigned to (do),被指派做某事,*D
envy (sb) (sth),羡慕某人…,*D
give out,用完；分发；发出（热、光等）,*D
abandon oneself to (sth),陷入某种情感,*D
turn in,上交,*D
"persevere with …, persevere in …",坚持某事,*D
make a resolution to (do),下决心做,*D
